date,os-se,app_version-version_appli,count-nombre
2021-10-31,ios,1.5.3,2
2021-10-31,ios,2.0.0,1
2021-11-07,android,1.5.3,2
2021-11-07,ios,1.2.9,734
2021-11-07,ios,1.5.3,1
2021-11-07,ios,2.0.0,1
2021-11-14,android,1.5.3,1
2021-11-14,ios,1.2.9,688
2021-11-14,ios,1.5.3,1
2021-11-14,ios,2.0.0,1
2021-11-21,android,1.5.3,1
2021-11-21,ios,1.2.9,638
2021-11-21,ios,1.5.3,1
