date,number_of_checks-no_verification,count-nombre
2021-03-05,0,0
2021-03-05,1-6,1
2021-03-05,7-12,1
2021-03-05,13-30,1
2021-03-05,30+,0
2021-03-06,0,0
2021-03-06,1-6,1
2021-03-06,7-12,1
2021-03-06,13-30,0
2021-03-06,30+,1
2021-03-07,0,0
2021-03-07,1-6,0
2021-03-07,7-12,2
2021-03-07,13-30,0
2021-03-07,30+,1
2021-03-08,0,0
2021-03-08,1-6,0
2021-03-08,7-12,2
2021-03-08,13-30,0
2021-03-08,30+,1
2021-03-09,0,0
2021-03-09,1-6,0
2021-03-09,7-12,1
2021-03-09,13-30,0
2021-03-09,30+,0
2021-03-10,0,0
2021-03-10,1-6,2
2021-03-10,7-12,1
2021-03-10,13-30,0
2021-03-10,30+,1
2021-03-11,0,0
2021-03-11,1-6,1
2021-03-11,7-12,1
2021-03-11,13-30,0
2021-03-11,30+,0
2021-03-12,0,0
2021-03-12,1-6,1
2021-03-12,7-12,0
2021-03-12,13-30,1
2021-03-12,30+,0
2021-03-13,0,0
2021-03-13,1-6,1
2021-03-13,7-12,1
2021-03-13,13-30,1
2021-03-13,30+,0
2021-03-14,0,0
2021-03-14,1-6,1
2021-03-14,7-12,2
2021-03-14,13-30,1
2021-03-14,30+,0
2021-03-15,0,0
2021-03-15,1-6,0
2021-03-15,7-12,2
2021-03-15,13-30,0
2021-03-15,30+,1
2021-03-16,0,0
2021-03-16,1-6,2
2021-03-16,7-12,2
2021-03-16,13-30,0
2021-03-16,30+,1
2021-03-17,0,0
2021-03-17,1-6,1
2021-03-17,7-12,2
2021-03-17,13-30,3
2021-03-17,30+,3
2021-03-18,0,0
2021-03-18,1-6,4
2021-03-18,7-12,5
2021-03-18,13-30,5
2021-03-18,30+,1
2021-03-19,0,0
2021-03-19,1-6,0
2021-03-19,7-12,2
2021-03-19,13-30,7
2021-03-19,30+,0
2021-03-20,0,0
2021-03-20,1-6,1
2021-03-20,7-12,4
2021-03-20,13-30,1
2021-03-20,30+,0
2021-03-21,0,0
2021-03-21,1-6,2
2021-03-21,7-12,3
2021-03-21,13-30,0
2021-03-21,30+,0
2021-03-22,0,0
2021-03-22,1-6,3
2021-03-22,7-12,3
2021-03-22,13-30,0
2021-03-22,30+,0
2021-03-23,0,0
2021-03-23,1-6,10
2021-03-23,7-12,2
2021-03-23,13-30,2
2021-03-23,30+,0
2021-03-24,0,0
2021-03-24,1-6,2
2021-03-24,7-12,4
2021-03-24,13-30,8
2021-03-24,30+,0
2021-03-25,0,0
2021-03-25,1-6,3
2021-03-25,7-12,10
2021-03-25,13-30,6
2021-03-25,30+,1
2021-03-26,0,0
2021-03-26,1-6,2
2021-03-26,7-12,5
2021-03-26,13-30,2
2021-03-26,30+,1
2021-03-27,0,0
2021-03-27,1-6,4
2021-03-27,7-12,2
2021-03-27,13-30,1
2021-03-27,30+,2
2021-03-28,0,0
2021-03-28,1-6,4
2021-03-28,7-12,3
2021-03-28,13-30,1
2021-03-28,30+,2
2021-03-29,0,0
2021-03-29,1-6,1
2021-03-29,7-12,6
