date,region,date_provided-date_fournie,count-nombre
2021-03-31,AB,date,0
2021-03-31,AB,no_date-date_so,0
2021-03-31,BC,date,0
2021-03-31,BC,no_date-date_so,0
2021-03-31,MB,date,0
2021-03-31,MB,no_date-date_so,0
2021-03-31,NB,date,0
2021-03-31,NB,no_date-date_so,0
2021-03-31,NL,date,0
2021-03-31,NL,no_date-date_so,0
2021-03-31,NT,date,0
2021-03-31,NT,no_date-date_so,0
2021-03-31,NS,date,0
2021-03-31,NS,no_date-date_so,0
2021-03-31,NU,date,0
2021-03-31,NU,no_date-date_so,0
2021-03-31,ON,date,0
2021-03-31,ON,no_date-date_so,1
2021-03-31,PE,date,0
2021-03-31,PE,no_date-date_so,0
2021-03-31,QC,date,0
2021-03-31,QC,no_date-date_so,0
2021-03-31,SK,date,0
2021-03-31,SK,no_date-date_so,0
2021-03-31,YT,date,0
2021-03-31,YT,no_date-date_so,0
2021-03-31,npts-ptso,date,0
2021-03-31,npts-ptso,no_date-date_so,0
2021-04-30,AB,date,0
2021-04-30,AB,no_date-date_so,0
2021-04-30,BC,date,0
2021-04-30,BC,no_date-date_so,0
2021-04-30,MB,date,0
2021-04-30,MB,no_date-date_so,0
2021-04-30,NB,date,0
2021-04-30,NB,no_date-date_so,0
2021-04-30,NL,date,0
2021-04-30,NL,no_date-date_so,0
2021-04-30,NT,date,0
2021-04-30,NT,no_date-date_so,0
2021-04-30,NS,date,0
2021-04-30,NS,no_date-date_so,0
2021-04-30,NU,date,0
2021-04-30,NU,no_date-date_so,0
2021-04-30,ON,date,2
2021-04-30,ON,no_date-date_so,0
2021-04-30,PE,date,0
2021-04-30,PE,no_date-date_so,0
2021-04-30,QC,date,0
2021-04-30,QC,no_date-date_so,0
2021-04-30,SK,date,0
2021-04-30,SK,no_date-date_so,0
2021-04-30,YT,date,0
2021-04-30,YT,no_date-date_so,0
2021-04-30,npts-ptso,date,0
2021-04-30,npts-ptso,no_date-date_so,0
2021-05-31,AB,date,0
2021-05-31,AB,no_date-date_so,0
2021-05-31,BC,date,0
2021-05-31,BC,no_date-date_so,0
2021-05-31,MB,date,0
2021-05-31,MB,no_date-date_so,0
2021-05-31,NB,date,0
2021-05-31,NB,no_date-date_so,0
2021-05-31,NL,date,0
2021-05-31,NL,no_date-date_so,0
2021-05-31,NT,date,0
2021-05-31,NT,no_date-date_so,0
2021-05-31,NS,date,0
2021-05-31,NS,no_date-date_so,0
2021-05-31,NU,date,0
2021-05-31,NU,no_date-date_so,0
2021-05-31,ON,date,6
2021-05-31,ON,no_date-date_so,1
2021-05-31,PE,date,0
2021-05-31,PE,no_date-date_so,0
2021-05-31,QC,date,0
2021-05-31,QC,no_date-date_so,1
2021-05-31,SK,date,0
2021-05-31,SK,no_date-date_so,0
2021-05-31,YT,date,0
2021-05-31,YT,no_date-date_so,0
2021-05-31,npts-ptso,date,0
2021-05-31,npts-ptso,no_date-date_so,1
2021-06-30,AB,date,0
2021-06-30,AB,no_date-date_so,0
2021-06-30,BC,date,0
2021-06-30,BC,no_date-date_so,0
2021-06-30,MB,date,0
2021-06-30,MB,no_date-date_so,0
2021-06-30,NB,date,0
2021-06-30,NB,no_date-date_so,0
2021-06-30,NL,date,0
2021-06-30,NL,no_date-date_so,0
2021-06-30,NT,date,0
2021-06-30,NT,no_date-date_so,0
2021-06-30,NS,date,0
2021-06-30,NS,no_date-date_so,0
2021-06-30,NU,date,0
2021-06-30,NU,no_date-date_so,0
2021-06-30,ON,date,18
2021-06-30,ON,no_date-date_so,0
2021-06-30,PE,date,0
2021-06-30,PE,no_date-date_so,0
2021-06-30,QC,date,0
2021-06-30,QC,no_date-date_so,0
2021-06-30,SK,date,0
2021-06-30,SK,no_date-date_so,0
2021-06-30,YT,date,0
2021-06-30,YT,no_date-date_so,0
2021-06-30,npts-ptso,date,0
2021-06-30,npts-ptso,no_date-date_so,0
2021-07-31,AB,date,0
2021-07-31,AB,no_date-date_so,0
2021-07-31,BC,date,0
2021-07-31,BC,no_date-date_so,0
2021-07-31,MB,date,0
2021-07-31,MB,no_date-date_so,0
2021-07-31,NB,date,0
2021-07-31,NB,no_date-date_so,0
2021-07-31,NL,date,0
2021-07-31,NL,no_date-date_so,0
2021-07-31,NT,date,0
2021-07-31,NT,no_date-date_so,0
2021-07-31,NS,date,0
2021-07-31,NS,no_date-date_so,0
2021-07-31,NU,date,0
2021-07-31,NU,no_date-date_so,0
2021-07-31,ON,date,3
2021-07-31,ON,no_date-date_so,0
2021-07-31,PE,date,0
2021-07-31,PE,no_date-date_so,0
2021-07-31,QC,date,0
2021-07-31,QC,no_date-date_so,0
2021-07-31,SK,date,0
2021-07-31,SK,no_date-date_so,0
2021-07-31,YT,date,0
2021-07-31,YT,no_date-date_so,0
2021-07-31,npts-ptso,date,0
2021-07-31,npts-ptso,no_date-date_so,0
