date,number_of_checks-no_verification,count-nombre
2021-10-01,1-6,<20
2021-10-01,7-12,<20
2021-10-01,13-30,<20
2021-10-01,30+,<20
2021-10-02,0,<20
2021-10-02,1-6,<20
2021-10-02,7-12,<20
2021-10-02,13-30,<20
2021-10-02,30+,<20
2021-10-03,0,<20
2021-10-03,1-6,<20
2021-10-03,7-12,<20
2021-10-03,13-30,<20
2021-10-03,30+,<20
2021-10-04,0,<20
2021-10-04,1-6,<20
2021-10-04,7-12,<20
2021-10-04,13-30,<20
2021-10-04,30+,<20
2021-10-05,0,<20
2021-10-05,1-6,<20
2021-10-05,7-12,<20
2021-10-05,13-30,<20
2021-10-05,30+,<20
2021-10-06,0,<20
2021-10-06,1-6,<20
2021-10-06,7-12,<20
2021-10-06,13-30,<20
2021-10-06,30+,<20
2021-10-07,0,<20
2021-10-07,1-6,<20
2021-10-07,7-12,<20
2021-10-07,13-30,<20
2021-10-07,30+,<20
2021-10-08,0,<20
2021-10-08,1-6,<20
2021-10-08,7-12,<20
2021-10-08,13-30,<20
2021-10-08,30+,<20
2021-10-09,0,<20
2021-10-09,1-6,<20
2021-10-09,7-12,<20
2021-10-09,13-30,<20
2021-10-09,30+,<20
2021-10-10,0,<20
2021-10-10,1-6,<20
2021-10-10,7-12,<20
2021-10-10,13-30,<20
2021-10-10,30+,<20
2021-10-11,0,<20
2021-10-11,1-6,<20
2021-10-11,7-12,<20
2021-10-11,13-30,<20
2021-10-11,30+,<20
2021-10-12,0,<20
2021-10-12,1-6,<20
2021-10-12,7-12,<20
2021-10-12,13-30,<20
2021-10-12,30+,<20
2021-10-13,0,<20
2021-10-13,1-6,<20
2021-10-13,7-12,<20
2021-10-13,13-30,<20
2021-10-13,30+,<20
2021-10-14,0,<20
2021-10-14,1-6,<20
2021-10-14,7-12,<20
2021-10-14,13-30,<20
2021-10-14,30+,<20
2021-10-15,0,<20
2021-10-15,1-6,<20
2021-10-15,7-12,<20
2021-10-15,13-30,<20
2021-10-15,30+,<20
2021-10-16,0,<20
2021-10-16,1-6,<20
2021-10-16,7-12,<20
2021-10-16,13-30,<20
2021-10-16,30+,<20
2021-10-17,0,<20
2021-10-17,1-6,<20
2021-10-17,7-12,<20
2021-10-17,13-30,<20
2021-10-17,30+,<20
2021-10-18,0,<20
2021-10-18,1-6,<20
2021-10-18,7-12,<20
2021-10-18,13-30,<20
2021-10-18,30+,<20
2021-10-19,0,<20
2021-10-19,1-6,<20
2021-10-19,7-12,<20
2021-10-19,13-30,<20
2021-10-19,30+,<20
2021-10-20,0,<20
2021-10-20,1-6,<20
2021-10-20,7-12,<20
2021-10-20,13-30,<20
2021-10-20,30+,<20
2021-10-21,0,<20
2021-10-21,1-6,<20
2021-10-21,7-12,<20
2021-10-21,13-30,<20
2021-10-21,30+,<20
2021-10-22,0,<20
2021-10-22,1-6,<20
2021-10-22,7-12,<20
2021-10-22,13-30,<20
2021-10-22,30+,<20
2021-10-23,0,<20
2021-10-23,1-6,<20
2021-10-23,7-12,<20
2021-10-23,13-30,<20
2021-10-23,30+,<20
2021-10-24,0,<20
2021-10-24,1-6,<20
2021-10-24,7-12,<20
2021-10-24,13-30,<20
2021-10-24,30+,<20
2021-10-25,0,<20
2021-10-25,1-6,<20
2021-10-25,7-12,<20
2021-10-25,13-30,<20
2021-10-25,30+,<20
2021-10-26,0,<20
2021-10-26,1-6,<20
2021-10-26,7-12,<20
2021-10-26,13-30,<20
2021-10-26,30+,<20
2021-10-27,0,<20
2021-10-27,1-6,<20
2021-10-27,7-12,<20
2021-10-27,13-30,<20
2021-10-27,30+,<20
2021-10-28,0,<20
2021-10-28,1-6,<20
2021-10-28,7-12,<20
2021-10-28,13-30,<20
2021-10-28,30+,<20
2021-10-29,0,<20
2021-10-29,1-6,<20
2021-10-29,7-12,<20
2021-10-29,13-30,<20
2021-10-29,30+,<20
2021-10-30,0,<20
2021-10-30,1-6,<20
2021-10-30,7-12,<20
2021-10-30,13-30,<20
2021-10-30,30+,<20
2021-10-31,0,<20
2021-10-31,1-6,<20
2021-10-31,7-12,<20
2021-10-31,13-30,<20
2021-10-31,30+,<20
2021-11-01,0,<20
2021-11-01,1-6,<20
2021-11-01,7-12,<20
2021-11-01,13-30,<20
2021-11-01,30+,<20
2021-11-02,0,<20
2021-11-02,1-6,<20
2021-11-02,7-12,<20
2021-11-02,13-30,<20
2021-11-02,30+,<20
2021-11-03,0,<20
2021-11-03,1-6,<20
2021-11-03,7-12,<20
2021-11-03,13-30,<20
2021-11-03,30+,<20
2021-11-04,0,<20
2021-11-04,1-6,<20
2021-11-04,7-12,<20
2021-11-04,13-30,<20
2021-11-04,30+,<20
2021-11-05,0,<20
2021-11-05,1-6,<20
2021-11-05,7-12,<20
2021-11-05,13-30,<20
2021-11-05,30+,<20
2021-11-06,0,<20
2021-11-06,1-6,<20
2021-11-06,7-12,<20
2021-11-06,13-30,<20
2021-11-06,30+,<20
2021-11-07,0,<20
2021-11-07,1-6,<20
2021-11-07,7-12,<20
2021-11-07,13-30,<20
2021-11-07,30+,<20
2021-11-08,0,<20
2021-11-08,1-6,<20
2021-11-08,7-12,<20
2021-11-08,13-30,<20
2021-11-08,30+,<20
2021-11-09,0,<20
2021-11-09,1-6,<20
2021-11-09,7-12,<20
2021-11-09,13-30,<20
2021-11-09,30+,<20
2021-11-10,0,<20
2021-11-10,1-6,<20
2021-11-10,7-12,<20
2021-11-10,13-30,<20
2021-11-10,30+,<20
2021-11-11,0,<20
2021-11-11,1-6,<20
2021-11-11,7-12,<20
2021-11-11,13-30,<20
2021-11-11,30+,<20
2021-11-12,0,<20
2021-11-12,1-6,<20
2021-11-12,7-12,<20
2021-11-12,13-30,<20
2021-11-12,30+,<20
2021-11-13,0,<20
2021-11-13,1-6,<20
2021-11-13,7-12,<20
2021-11-13,13-30,<20
2021-11-13,30+,<20
2021-11-14,0,<20
2021-11-14,1-6,<20
2021-11-14,7-12,<20
2021-11-14,13-30,<20
2021-11-14,30+,<20
2021-11-15,0,<20
2021-11-15,1-6,<20
2021-11-15,7-12,<20
2021-11-15,13-30,<20
2021-11-15,30+,<20
2021-11-16,0,<20
2021-11-16,1-6,<20
2021-11-16,7-12,<20
2021-11-16,13-30,<20
2021-11-16,30+,<20
2021-11-17,0,<20
2021-11-17,1-6,<20
2021-11-17,7-12,<20
2021-11-17,13-30,<20
2021-11-17,30+,<20
2021-11-18,0,<20
2021-11-18,1-6,<20
2021-11-18,7-12,<20
2021-11-18,13-30,<20
2021-11-18,30+,<20
2021-11-19,0,<20
2021-11-19,1-6,<20
2021-11-19,7-12,<20
2021-11-19,13-30,<20
2021-11-19,30+,<20
2021-11-20,0,<20
2021-11-20,1-6,<20
2021-11-20,7-12,<20
2021-11-20,13-30,<20
2021-11-20,30+,<20
2021-11-21,0,<20
2021-11-21,1-6,<20
2021-11-21,7-12,<20
2021-11-21,13-30,<20
2021-11-21,30+,<20
2021-11-22,0,<20
2021-11-22,1-6,<20
2021-11-22,7-12,<20
2021-11-22,13-30,<20
2021-11-22,30+,<20
2021-11-23,0,<20
2021-11-23,1-6,<20
2021-11-23,7-12,<20
2021-11-23,13-30,<20
2021-11-23,30+,<20
2021-11-24,0,<20
2021-11-24,1-6,<20
2021-11-24,7-12,<20
2021-11-24,13-30,<20
2021-11-24,30+,<20
2021-11-25,0,<20
2021-11-25,1-6,<20
2021-11-25,7-12,<20
2021-11-25,13-30,<20
2021-11-25,30+,<20
2021-11-26,0,<20
2021-11-26,1-6,<20
2021-11-26,7-12,<20
2021-11-26,13-30,<20
2021-11-26,30+,<20
2021-11-27,0,<20
2021-11-27,1-6,<20
2021-11-27,7-12,<20
2021-11-27,13-30,<20
2021-11-27,30+,<20
2021-11-28,0,<20
2021-11-28,1-6,<20
2021-11-28,7-12,<20
2021-11-28,13-30,<20
2021-11-28,30+,<20
2021-11-29,0,<20
2021-11-29,1-6,<20
2021-11-29,7-12,<20
2021-11-29,13-30,<20
2021-11-29,30+,<20
