date,region,exposure_status,count
2021-03-24,AB,exposed,<20
2021-03-24,AB,monitoring,<20
2021-03-24,BC,exposed,<20
2021-03-24,BC,monitoring,<20
2021-03-24,MB,exposed,<20
2021-03-24,MB,monitoring,<20
2021-03-24,NB,exposed,<20
2021-03-24,NB,monitoring,<20
2021-03-24,NL,exposed,<20
2021-03-24,NL,monitoring,<20
2021-03-24,NT,exposed,<20
2021-03-24,NT,monitoring,<20
2021-03-24,NS,exposed,<20
2021-03-24,NS,monitoring,<20
2021-03-24,NU,exposed,<20
2021-03-24,NU,monitoring,<20
2021-03-24,ON,exposed,<20
2021-03-24,ON,monitoring,<20
2021-03-24,PE,exposed,<20
2021-03-24,PE,monitoring,<20
2021-03-24,QC,exposed,<20
2021-03-24,QC,monitoring,<20
2021-03-24,SK,exposed,<20
2021-03-24,SK,monitoring,<20
2021-03-24,YT,exposed,<20
2021-03-24,YT,monitoring,<20
2021-03-24,NPTS,exposed,<20
2021-03-24,NPTS,monitoring,<20
2021-03-25,AB,exposed,<20
2021-03-25,AB,monitoring,<20
2021-03-25,BC,exposed,<20
2021-03-25,BC,monitoring,<20
2021-03-25,MB,exposed,<20
2021-03-25,MB,monitoring,<20
2021-03-25,NB,exposed,<20
2021-03-25,NB,monitoring,<20
2021-03-25,NL,exposed,<20
2021-03-25,NL,monitoring,<20
2021-03-25,NT,exposed,<20
2021-03-25,NT,monitoring,<20
2021-03-25,NS,exposed,<20
2021-03-25,NS,monitoring,<20
2021-03-25,NU,exposed,<20
2021-03-25,NU,monitoring,<20
2021-03-25,ON,exposed,<20
2021-03-25,ON,monitoring,<20
2021-03-25,PE,exposed,<20
2021-03-25,PE,monitoring,<20
2021-03-25,QC,exposed,<20
2021-03-25,QC,monitoring,<20
2021-03-25,SK,exposed,<20
2021-03-25,SK,monitoring,<20
2021-03-25,YT,exposed,<20
2021-03-25,YT,monitoring,<20
2021-03-25,NPTS,exposed,<20
2021-03-25,NPTS,monitoring,<20
2021-03-26,AB,exposed,<20
2021-03-26,AB,monitoring,<20
2021-03-26,BC,exposed,<20
2021-03-26,BC,monitoring,<20
2021-03-26,MB,exposed,<20
2021-03-26,MB,monitoring,<20
2021-03-26,NB,exposed,<20
2021-03-26,NB,monitoring,<20
2021-03-26,NL,exposed,<20
2021-03-26,NL,monitoring,<20
